OrderID	CustomerID	EmployeeID	OrderDate	ShipperID
10248	90	5	1996-07-04	3
10249	81	6	1996-07-05	1
10250	34	4	1996-07-08	2
10251	84	3	1996-07-08	1
10252	76	4	1996-07-09	2
10253	34	3	1996-07-10	2
10254	14	5	1996-07-11	2
10255	68	9	1996-07-12	3
10256	88	3	1996-07-15	2
10257	35	4	1996-07-16	3
10258	20	1	1996-07-17	1
10259	13	4	1996-07-18	3
10260	55	4	1996-07-19	1
10261	61	4	1996-07-19	2
10262	65	8	1996-07-22	3
10263	20	9	1996-07-23	3
10264	24	6	1996-07-24	3
10265	7	2	1996-07-25	1
10266	87	3	1996-07-26	3
10267	25	4	1996-07-29	1
10268	33	8	1996-07-30	3
10269	89	5	1996-07-31	1
10270	87	1	1996-08-01	1
10271	75	6	1996-08-01	2
10272	65	6	1996-08-02	2
10273	63	3	1996-08-05	3
10274	85	6	1996-08-06	1
10275	49	1	1996-08-07	1
10276	80	8	1996-08-08	3
10277	52	2	1996-08-09	3
10278	5	8	1996-08-12	2
10279	44	8	1996-08-13	2
10280	5	2	1996-08-14	1
10281	69	4	1996-08-14	1
10282	69	4	1996-08-15	1
10283	46	3	1996-08-16	3
10284	44	4	1996-08-19	1
10285	63	1	1996-08-20	2
10286	63	8	1996-08-21	3
10287	67	8	1996-08-22	3
10288	66	4	1996-08-23	1
10289	11	7	1996-08-26	3
10290	15	8	1996-08-27	1
10291	61	6	1996-08-27	2
10292	81	1	1996-08-28	2
10293	80	1	1996-08-29	3
10294	65	4	1996-08-30	2
10295	85	2	1996-09-02	2
10296	46	6	1996-09-03	1
10297	7	5	1996-09-04	2
10298	37	6	1996-09-05	2
10299	67	4	1996-09-06	2
10300	49	2	1996-09-09	2
10301	86	8	1996-09-09	2
10302	76	4	1996-09-10	2
10303	30	7	1996-09-11	2
10304	80	1	1996-09-12	2
10305	55	8	1996-09-13	3
10306	69	1	1996-09-16	3
10307	48	2	1996-09-17	2
10308	2	7	1996-09-18	3
10309	37	3	1996-09-19	1
10310	77	8	1996-09-20	2
10311	18	1	1996-09-20	3
10312	86	2	1996-09-23	2
10313	63	2	1996-09-24	2
10314	65	1	1996-09-25	2
10315	38	4	1996-09-26	2
10316	65	1	1996-09-27	3
10317	48	6	1996-09-30	1
10318	38	8	1996-10-01	2
10319	80	7	1996-10-02	3
10320	87	5	1996-10-03	3
10321	38	3	1996-10-03	2
10322	58	7	1996-10-04	3
10323	39	4	1996-10-07	1
10324	71	9	1996-10-08	1
10325	39	1	1996-10-09	3
10326	8	4	1996-10-10	2
10327	24	2	1996-10-11	1
10328	28	4	1996-10-14	3
10329	75	4	1996-10-15	2
10330	46	3	1996-10-16	1
10331	9	9	1996-10-16	1
10332	51	3	1996-10-17	2
10333	87	5	1996-10-18	3
10334	84	8	1996-10-21	2
10335	37	7	1996-10-22	2
10336	60	7	1996-10-23	2
10337	25	4	1996-10-24	3
10338	55	4	1996-10-25	3
10339	51	2	1996-10-28	2
10340	9	1	1996-10-29	3
10341	73	7	1996-10-29	3
10342	25	4	1996-10-30	2
10343	44	4	1996-10-31	1
10344	89	4	1996-11-01	2
10345	63	2	1996-11-04	2
10346	65	3	1996-11-05	3
10347	21	4	1996-11-06	3
10348	86	4	1996-11-07	2
10349	75	7	1996-11-08	1
10350	41	6	1996-11-11	2
10351	20	1	1996-11-11	1
10352	28	3	1996-11-12	3
10353	59	7	1996-11-13	3
10354	58	8	1996-11-14	3
10355	4	6	1996-11-15	1
10356	86	6	1996-11-18	2
10357	46	1	1996-11-19	3
10358	41	5	1996-11-20	1
10359	72	5	1996-11-21	3
10360	7	4	1996-11-22	3
10361	63	1	1996-11-22	2
10362	9	3	1996-11-25	1
10363	17	4	1996-11-26	3
10364	19	1	1996-11-26	1
10365	3	3	1996-11-27	2
10366	29	8	1996-11-28	2
10367	83	7	1996-11-28	3
10368	20	2	1996-11-29	2
10369	75	8	1996-12-02	2
10370	14	6	1996-12-03	2
10371	41	1	1996-12-03	1
10372	62	5	1996-12-04	2
10373	37	4	1996-12-05	3
10374	91	1	1996-12-05	3
10375	36	3	1996-12-06	2
10376	51	1	1996-12-09	2
10377	72	1	1996-12-09	3
10378	24	5	1996-12-10	3
10379	61	2	1996-12-11	1
10380	37	8	1996-12-12	3
10381	46	3	1996-12-12	3
10382	20	4	1996-12-13	1
10383	4	8	1996-12-16	3
10384	5	3	1996-12-16	3
10385	75	1	1996-12-17	2
10386	21	9	1996-12-18	3
10387	70	1	1996-12-18	2
10388	72	2	1996-12-19	1
10389	10	4	1996-12-20	2
10390	20	6	1996-12-23	1
10391	17	3	1996-12-23	3
10392	59	2	1996-12-24	3
10393	71	1	1996-12-25	3
10394	36	1	1996-12-25	3
10395	35	6	1996-12-26	1
10396	25	1	1996-12-27	3
10397	60	5	1996-12-27	1
10398	71	2	1996-12-30	3
10399	83	8	1996-12-31	3
10400	19	1	1997-01-01	3
10401	65	1	1997-01-01	1
10402	20	8	1997-01-02	2
10403	20	4	1997-01-03	3
10404	49	2	1997-01-03	1
10405	47	1	1997-01-06	1
10406	62	7	1997-01-07	1
10407	56	2	1997-01-07	2
10408	23	8	1997-01-08	1
10409	54	3	1997-01-09	1
10410	10	3	1997-01-10	3
10411	10	9	1997-01-10	3
10412	87	8	1997-01-13	2
10413	41	3	1997-01-14	2
10414	21	2	1997-01-14	3
10415	36	3	1997-01-15	1
10416	87	8	1997-01-16	3
10417	73	4	1997-01-16	3
10418	63	4	1997-01-17	1
10419	68	4	1997-01-20	2
10420	88	3	1997-01-21	1
10421	61	8	1997-01-21	1
10422	27	2	1997-01-22	1
10423	31	6	1997-01-23	3
10424	51	7	1997-01-23	2
10425	41	6	1997-01-24	2
10426	29	4	1997-01-27	1
10427	59	4	1997-01-27	2
10428	66	7	1997-01-28	1
10429	37	3	1997-01-29	2
10430	20	4	1997-01-30	1
10431	10	4	1997-01-30	2
10432	75	3	1997-01-31	2
10433	60	3	1997-02-03	3
10434	24	3	1997-02-03	2
10435	16	8	1997-02-04	2
10436	7	3	1997-02-05	2
10437	87	8	1997-02-05	1
10438	79	3	1997-02-06	2
10439	51	6	1997-02-07	3
10440	71	4	1997-02-10	2
10441	55	3	1997-02-10	2
10442	20	3	1997-02-11	2
10443	66	8	1997-02-12	1
10444	5	3	1997-02-12	3
10445	5	3	1997-02-13	1
10446	79	6	1997-02-14	1
10447	67	4	1997-02-14	2
10448	64	4	1997-02-17	2
10449	7	3	1997-02-18	2
10450	84	8	1997-02-19	2
10451	63	4	1997-02-19	3
10452	71	8	1997-02-20	1
10453	4	1	1997-02-21	2
10454	41	4	1997-02-21	3
10455	87	8	1997-02-24	2
10456	39	8	1997-02-25	2
10457	39	2	1997-02-25	1
10458	76	7	1997-02-26	3
10459	84	4	1997-02-27	2
10460	24	8	1997-02-28	1
10461	46	1	1997-02-28	3
10462	16	2	1997-03-03	1
10463	76	5	1997-03-04	3
10464	28	4	1997-03-04	2
10465	83	1	1997-03-05	3
10466	15	4	1997-03-06	1
10467	49	8	1997-03-06	2
10468	39	3	1997-03-07	3
10469	89	1	1997-03-10	1
10470	9	4	1997-03-11	2
10471	11	2	1997-03-11	3
10472	72	8	1997-03-12	1
10473	38	1	1997-03-13	3
10474	58	5	1997-03-13	2
10475	76	9	1997-03-14	1
10476	35	8	1997-03-17	3
10477	60	5	1997-03-17	2
10478	84	2	1997-03-18	3
10479	65	3	1997-03-19	3
10480	23	6	1997-03-20	2
10481	67	8	1997-03-20	2
10482	43	1	1997-03-21	3
10483	89	7	1997-03-24	2
10484	11	3	1997-03-24	3
10485	47	4	1997-03-25	2
10486	35	1	1997-03-26	2
10487	62	2	1997-03-26	2
10488	25	8	1997-03-27	2
10489	59	6	1997-03-28	2
10490	35	7	1997-03-31	2
10491	28	8	1997-03-31	3
10492	10	3	1997-04-01	1
10493	41	4	1997-04-02	3
10494	15	4	1997-04-02	2
10495	42	3	1997-04-03	3
10496	81	7	1997-04-04	2
10497	44	7	1997-04-04	1
10498	35	8	1997-04-07	2
10499	46	4	1997-04-08	2
10500	41	6	1997-04-09	1
10501	6	9	1997-04-09	3
10502	58	2	1997-04-10	1
10503	37	6	1997-04-11	2
10504	89	4	1997-04-11	3
10505	51	3	1997-04-14	3
10506	39	9	1997-04-15	2
10507	3	7	1997-04-15	1
10508	56	1	1997-04-16	2
10509	6	4	1997-04-17	1
10510	71	6	1997-04-18	3
10511	9	4	1997-04-18	3
10512	21	7	1997-04-21	2
10513	86	7	1997-04-22	1
10514	20	3	1997-04-22	2
10515	63	2	1997-04-23	1
10516	37	2	1997-04-24	3
10517	53	3	1997-04-24	3
10518	80	4	1997-04-25	2
10519	14	6	1997-04-28	3
10520	70	7	1997-04-29	1
10521	12	8	1997-04-29	2
10522	44	4	1997-04-30	1
10523	72	7	1997-05-01	2
10524	5	1	1997-05-01	2
10525	9	1	1997-05-02	2
10526	87	4	1997-05-05	2
10527	63	7	1997-05-05	1
10528	32	6	1997-05-06	2
10529	50	5	1997-05-07	2
10530	59	3	1997-05-08	2
10531	54	7	1997-05-08	1
10532	19	7	1997-05-09	3
10533	24	8	1997-05-12	1
10534	44	8	1997-05-12	2
10535	3	4	1997-05-13	1
10536	44	3	1997-05-14	2
10537	68	1	1997-05-14	1
10538	11	9	1997-05-15	3
10539	11	6	1997-05-16	3
10540	63	3	1997-05-19	3
10541	34	2	1997-05-19	1
10542	39	1	1997-05-20	3
10543	46	8	1997-05-21	2
10544	48	4	1997-05-21	1
10545	43	8	1997-05-22	2
10546	84	1	1997-05-23	3
10547	72	3	1997-05-23	2
10548	79	3	1997-05-26	2
10549	63	5	1997-05-27	1
10550	30	7	1997-05-28	3
10551	28	4	1997-05-28	3
10552	35	2	1997-05-29	1
10553	87	2	1997-05-30	2
10554	56	4	1997-05-30	3
10555	71	6	1997-06-02	3
10556	73	2	1997-06-03	1
10557	44	9	1997-06-03	2
10558	4	1	1997-06-04	2
10559	7	6	1997-06-05	1
10560	25	8	1997-06-06	1
10561	24	2	1997-06-06	2
10562	66	1	1997-06-09	1
10563	67	2	1997-06-10	2
10564	65	4	1997-06-10	3
10565	51	8	1997-06-11	2
10566	7	9	1997-06-12	1
10567	37	1	1997-06-12	1
10568	29	3	1997-06-13	3
10569	65	5	1997-06-16	1
10570	51	3	1997-06-17	3
10571	20	8	1997-06-17	3
10572	5	3	1997-06-18	2
10573	3	7	1997-06-19	3
10574	82	4	1997-06-19	2
10575	52	5	1997-06-20	1
10576	80	3	1997-06-23	3
10577	82	9	1997-06-23	2
10578	11	4	1997-06-24	3
10579	45	1	1997-06-25	2
10580	56	4	1997-06-26	3
10581	21	3	1997-06-26	1
10582	6	3	1997-06-27	2
10583	87	2	1997-06-30	2
10584	7	4	1997-06-30	1
10585	88	7	1997-07-01	1
10586	66	9	1997-07-02	1
10587	61	1	1997-07-02	1
10588	63	2	1997-07-03	3
10589	32	8	1997-07-04	2
10590	51	4	1997-07-07	3
10591	83	1	1997-07-07	1
10592	44	3	1997-07-08	1
10593	44	7	1997-07-09	2
10594	55	3	1997-07-09	2
10595	20	2	1997-07-10	1
10596	89	8	1997-07-11	1
10597	59	7	1997-07-11	3
10598	65	1	1997-07-14	3
10599	11	6	1997-07-15	3
10600	36	4	1997-07-16	1
10601	35	7	1997-07-16	1
10602	83	8	1997-07-17	2
10603	71	8	1997-07-18	2
10604	28	1	1997-07-18	1
10605	51	1	1997-07-21	2
10606	81	4	1997-07-22	3
10607	71	5	1997-07-22	1
10608	79	4	1997-07-23	2
10609	18	7	1997-07-24	2
10610	41	8	1997-07-25	1
10611	91	6	1997-07-25	2
10612	71	1	1997-07-28	2
10613	35	4	1997-07-29	2
10614	6	8	1997-07-29	3
10615	90	2	1997-07-30	3
10616	32	1	1997-07-31	2
10617	32	4	1997-07-31	2
10618	51	1	1997-08-01	1
10619	51	3	1997-08-04	3
10620	42	2	1997-08-05	3
10621	38	4	1997-08-05	2
10622	67	4	1997-08-06	3
10623	25	8	1997-08-07	2
10624	78	4	1997-08-07	2
10625	2	3	1997-08-08	1
10626	5	1	1997-08-11	2
10627	71	8	1997-08-11	3
10628	7	4	1997-08-12	3
10629	30	4	1997-08-12	3
10630	39	1	1997-08-13	2
10631	41	8	1997-08-14	1
10632	86	8	1997-08-14	1
10633	20	7	1997-08-15	3
10634	23	4	1997-08-15	3
10635	49	8	1997-08-18	3
10636	87	4	1997-08-19	1
10637	62	6	1997-08-19	1
10638	47	3	1997-08-20	1
10639	70	7	1997-08-20	3
10640	86	4	1997-08-21	1
10641	35	4	1997-08-22	2
10642	73	7	1997-08-22	3
10643	1	6	1997-08-25	1
10644	88	3	1997-08-25	2
10645	34	4	1997-08-26	1
10646	37	9	1997-08-27	3
10647	61	4	1997-08-27	2
10648	67	5	1997-08-28	2
10649	50	5	1997-08-28	3
10650	21	5	1997-08-29	3
10651	86	8	1997-09-01	2
10652	31	4	1997-09-01	2
10653	25	1	1997-09-02	1
10654	5	5	1997-09-02	1
10655	66	1	1997-09-03	2
10656	32	6	1997-09-04	1
10657	71	2	1997-09-04	2
10658	63	4	1997-09-05	1
10659	62	7	1997-09-05	2
10660	36	8	1997-09-08	1
10661	37	7	1997-09-09	3
10662	48	3	1997-09-09	2
10663	9	2	1997-09-10	2
10664	28	1	1997-09-10	3
10665	48	1	1997-09-11	2
10666	68	7	1997-09-12	2
10667	20	7	1997-09-12	1
10668	86	1	1997-09-15	2
10669	73	2	1997-09-15	1
10670	25	4	1997-09-16	1
10671	26	1	1997-09-17	1
10672	5	9	1997-09-17	2
10673	90	2	1997-09-18	1
10674	38	4	1997-09-18	2
10675	25	5	1997-09-19	2
10676	80	2	1997-09-22	2
10677	3	1	1997-09-22	3
10678	71	7	1997-09-23	3
10679	7	8	1997-09-23	3
10680	55	1	1997-09-24	1
10681	32	3	1997-09-25	3
10682	3	3	1997-09-25	2
10683	18	2	1997-09-26	1
10684	56	3	1997-09-26	1
10685	31	4	1997-09-29	2
10686	59	2	1997-09-30	1
10687	37	9	1997-09-30	2
10688	83	4	1997-10-01	2
10689	5	1	1997-10-01	2
10690	34	1	1997-10-02	1
10691	63	2	1997-10-03	2
10692	1	4	1997-10-03	2
10693	89	3	1997-10-06	3
10694	63	8	1997-10-06	3
10695	90	7	1997-10-07	1
10696	89	8	1997-10-08	3
10697	47	3	1997-10-08	1
10698	20	4	1997-10-09	1
10699	52	3	1997-10-09	3
10700	71	3	1997-10-10	1
10701	37	6	1997-10-13	3
10702	1	4	1997-10-13	1
10703	24	6	1997-10-14	2
10704	62	6	1997-10-14	1
10705	35	9	1997-10-15	2
10706	55	8	1997-10-16	3
10707	4	4	1997-10-16	3
10708	77	6	1997-10-17	2
10709	31	1	1997-10-17	3
10710	27	1	1997-10-20	1
10711	71	5	1997-10-21	2
10712	37	3	1997-10-21	1
10713	71	1	1997-10-22	1
10714	71	5	1997-10-22	3
10715	9	3	1997-10-23	1
10716	64	4	1997-10-24	2
10717	25	1	1997-10-24	2
10718	39	1	1997-10-27	3
10719	45	8	1997-10-27	2
10720	61	8	1997-10-28	2
10721	63	5	1997-10-29	3
10722	71	8	1997-10-29	1
10723	89	3	1997-10-30	1
10724	51	8	1997-10-30	2
10725	21	4	1997-10-31	3
10726	19	4	1997-11-03	1
10727	66	2	1997-11-03	1
10728	62	4	1997-11-04	2
10729	47	8	1997-11-04	3
10730	9	5	1997-11-05	1
10731	14	7	1997-11-06	1
10732	9	3	1997-11-06	1
10733	5	1	1997-11-07	3
10734	31	2	1997-11-07	3
10735	45	6	1997-11-10	2
10736	37	9	1997-11-11	2
10737	85	2	1997-11-11	2
10738	74	2	1997-11-12	1
10739	85	3	1997-11-12	3
10740	89	4	1997-11-13	2
10741	4	4	1997-11-14	3
10742	10	3	1997-11-14	3
10743	4	1	1997-11-17	2
10744	83	6	1997-11-17	1
10745	63	9	1997-11-18	1
10746	14	1	1997-11-19	3
10747	59	6	1997-11-19	1
10748	71	3	1997-11-20	1
10749	38	4	1997-11-20	2
10750	87	9	1997-11-21	1
10751	68	3	1997-11-24	3
10752	53	2	1997-11-24	3
10753	27	3	1997-11-25	1
10754	49	6	1997-11-25	3
10755	9	4	1997-11-26	2
10756	75	8	1997-11-27	2
10757	71	6	1997-11-27	1
10758	68	3	1997-11-28	3
10759	2	3	1997-11-28	3
10760	50	4	1997-12-01	1
10761	65	5	1997-12-02	2
10762	24	3	1997-12-02	1
10763	23	3	1997-12-03	3
10764	20	6	1997-12-03	3
10765	63	3	1997-12-04	3
10766	56	4	1997-12-05	1
10767	76	4	1997-12-05	3
10768	4	3	1997-12-08	2
10769	83	3	1997-12-08	1
10770	34	8	1997-12-09	3
10771	20	9	1997-12-10	2
10772	44	3	1997-12-10	2
10773	20	1	1997-12-11	3
10774	24	4	1997-12-11	1
10775	78	7	1997-12-12	1
10776	20	1	1997-12-15	3
10777	31	7	1997-12-15	2
10778	5	3	1997-12-16	1
10779	52	3	1997-12-16	2
10780	46	2	1997-12-16	1
10781	87	2	1997-12-17	3
10782	12	9	1997-12-17	3
10783	34	4	1997-12-18	2
10784	49	4	1997-12-18	3
10785	33	1	1997-12-18	3
10786	62	8	1997-12-19	1
10787	41	2	1997-12-19	1
10788	63	1	1997-12-22	2
10789	23	1	1997-12-22	2
10790	31	6	1997-12-22	1
10791	25	6	1997-12-23	2
10792	91	1	1997-12-23	3
10793	4	3	1997-12-24	3
10794	61	6	1997-12-24	1
10795	20	8	1997-12-24	2
10796	35	3	1997-12-25	1
10797	17	7	1997-12-25	2
10798	38	2	1997-12-26	1
10799	39	9	1997-12-26	3
10800	72	1	1997-12-26	3
10801	8	4	1997-12-29	2
10802	73	4	1997-12-29	2
10803	88	4	1997-12-30	1
10804	72	6	1997-12-30	2
10805	77	2	1997-12-30	3
10806	84	3	1997-12-31	2
10807	27	4	1997-12-31	1
10808	60	2	1998-01-01	3
10809	88	7	1998-01-01	1
10810	42	2	1998-01-01	3
10811	47	8	1998-01-02	1
10812	66	5	1998-01-02	1
10813	67	1	1998-01-05	1
10814	84	3	1998-01-05	3
10815	71	2	1998-01-05	3
10816	32	4	1998-01-06	2
10817	39	3	1998-01-06	2
10818	49	7	1998-01-07	3
10819	12	2	1998-01-07	3
10820	65	3	1998-01-07	2
10821	75	1	1998-01-08	1
10822	82	6	1998-01-08	3
10823	46	5	1998-01-09	2
10824	24	8	1998-01-09	1
10825	17	1	1998-01-09	1
10826	7	6	1998-01-12	1
10827	9	1	1998-01-12	2
10828	64	9	1998-01-13	1
10829	38	9	1998-01-13	1
10830	81	4	1998-01-13	2
10831	70	3	1998-01-14	2
10832	41	2	1998-01-14	2
10833	56	6	1998-01-15	2
10834	81	1	1998-01-15	3
10835	1	1	1998-01-15	3
10836	20	7	1998-01-16	1
10837	5	9	1998-01-16	3
10838	47	3	1998-01-19	3
10839	81	3	1998-01-19	3
10840	47	4	1998-01-19	2
10841	76	5	1998-01-20	2
10842	80	1	1998-01-20	3
10843	84	4	1998-01-21	2
10844	59	8	1998-01-21	2
10845	63	8	1998-01-21	1
10846	76	2	1998-01-22	3
10847	71	4	1998-01-22	3
10848	16	7	1998-01-23	2
10849	39	9	1998-01-23	2
10850	84	1	1998-01-23	1
10851	67	5	1998-01-26	1
10852	65	8	1998-01-26	1
10853	6	9	1998-01-27	2
10854	20	3	1998-01-27	2
10855	55	3	1998-01-27	1
10856	3	3	1998-01-28	2
10857	5	8	1998-01-28	2
10858	40	2	1998-01-29	1
10859	25	1	1998-01-29	2
10860	26	3	1998-01-29	3
10861	89	4	1998-01-30	2
10862	44	8	1998-01-30	2
10863	35	4	1998-02-02	2
10864	4	4	1998-02-02	2
10865	63	2	1998-02-02	1
10866	5	5	1998-02-03	1
10867	48	6	1998-02-03	1
10868	62	7	1998-02-04	2
10869	72	5	1998-02-04	1
10870	91	5	1998-02-04	3
10871	9	9	1998-02-05	2
10872	30	5	1998-02-05	2
10873	90	4	1998-02-06	1
10874	30	5	1998-02-06	2
10875	5	4	1998-02-06	2
10876	9	7	1998-02-09	3
10877	67	1	1998-02-09	1
10878	63	4	1998-02-10	1
10879	90	3	1998-02-10	3
10880	24	7	1998-02-10	1
10881	12	4	1998-02-11	1
10882	71	4	1998-02-11	3
10883	48	8	1998-02-12	3
10884	45	4	1998-02-12	2
10885	76	6	1998-02-12	3
10886	34	1	1998-02-13	1
10887	29	8	1998-02-13	3
10888	30	1	1998-02-16	2
10889	65	9	1998-02-16	3
10890	18	7	1998-02-16	1
10891	44	7	1998-02-17	2
10892	50	4	1998-02-17	2
10893	39	9	1998-02-18	2
10894	71	1	1998-02-18	1
10895	20	3	1998-02-18	1
10896	50	7	1998-02-19	3
10897	37	3	1998-02-19	2
10898	54	4	1998-02-20	2
10899	46	5	1998-02-20	3
10900	88	1	1998-02-20	2
10901	35	4	1998-02-23	1
10902	24	1	1998-02-23	1
10903	34	3	1998-02-24	3
10904	89	3	1998-02-24	3
10905	88	9	1998-02-24	2
10906	91	4	1998-02-25	3
10907	74	6	1998-02-25	3
10908	66	4	1998-02-26	2
10909	70	1	1998-02-26	2
10910	90	1	1998-02-26	3
10911	30	3	1998-02-26	1
10912	37	2	1998-02-26	2
10913	62	4	1998-02-26	1
10914	62	6	1998-02-27	1
10915	80	2	1998-02-27	2
10916	64	1	1998-02-27	2
10917	69	4	1998-03-02	2
10918	10	3	1998-03-02	3
10919	47	2	1998-03-02	2
10920	4	4	1998-03-03	2
10921	83	1	1998-03-03	1
10922	34	5	1998-03-03	3
10923	41	7	1998-03-03	3
10924	5	3	1998-03-04	2
10925	34	3	1998-03-04	1
10926	2	4	1998-03-04	3
10927	40	4	1998-03-05	1
10928	29	1	1998-03-05	1
10929	25	6	1998-03-05	1
10930	76	4	1998-03-06	3
10931	68	4	1998-03-06	2
10932	9	8	1998-03-06	1
10933	38	6	1998-03-06	3
10934	44	3	1998-03-09	3
10935	88	4	1998-03-09	3
10936	32	3	1998-03-09	2
10937	12	7	1998-03-10	3
10938	63	3	1998-03-10	2
10939	49	2	1998-03-10	2
10940	9	8	1998-03-11	3
10941	71	7	1998-03-11	2
10942	66	9	1998-03-11	3
10943	11	4	1998-03-11	2
10944	10	6	1998-03-12	3
10945	52	4	1998-03-12	1
10946	83	1	1998-03-12	2
10947	11	3	1998-03-13	2
10948	30	3	1998-03-13	3
10949	10	2	1998-03-13	3
10950	49	1	1998-03-16	2
10951	68	9	1998-03-16	2
10952	1	1	1998-03-16	1
10953	4	9	1998-03-16	2
10954	47	5	1998-03-17	1
10955	24	8	1998-03-17	2
10956	6	6	1998-03-17	2
10957	35	8	1998-03-18	3
10958	54	7	1998-03-18	2
10959	31	6	1998-03-18	2
10960	35	3	1998-03-19	1
10961	62	8	1998-03-19	1
10962	63	8	1998-03-19	2
10963	28	9	1998-03-19	3
10964	74	3	1998-03-20	2
10965	55	6	1998-03-20	3
10966	14	4	1998-03-20	1
10967	79	2	1998-03-23	2
10968	20	1	1998-03-23	3
10969	15	1	1998-03-23	2
10970	8	9	1998-03-24	1
10971	26	2	1998-03-24	2
10972	40	4	1998-03-24	2
10973	40	6	1998-03-24	2
10974	75	3	1998-03-25	3
10975	10	1	1998-03-25	3
10976	35	1	1998-03-25	1
10977	24	8	1998-03-26	3
10978	50	9	1998-03-26	2
10979	20	8	1998-03-26	2
10980	24	4	1998-03-27	1
10981	34	1	1998-03-27	2
10982	10	2	1998-03-27	1
10983	71	2	1998-03-27	2
10984	71	1	1998-03-30	3
10985	37	2	1998-03-30	1
10986	54	8	1998-03-30	2
10987	19	8	1998-03-31	1
10988	65	3	1998-03-31	2
10989	61	2	1998-03-31	1
10990	20	2	1998-04-01	3
10991	63	1	1998-04-01	1
10992	77	1	1998-04-01	3
10993	24	7	1998-04-01	3
10994	83	2	1998-04-02	3
10995	58	1	1998-04-02	3
10996	63	4	1998-04-02	2
10997	46	8	1998-04-03	2
10998	91	8	1998-04-03	2
10999	56	6	1998-04-03	2
11000	65	2	1998-04-06	3
11001	24	2	1998-04-06	2
11002	71	4	1998-04-06	1
11003	78	3	1998-04-06	3
11004	50	3	1998-04-07	1
11005	90	2	1998-04-07	1
11006	32	3	1998-04-07	2
11007	60	8	1998-04-08	2
11008	20	7	1998-04-08	3
11009	30	2	1998-04-08	1
11010	66	2	1998-04-09	2
11011	1	3	1998-04-09	1
11012	25	1	1998-04-09	3
11013	69	2	1998-04-09	1
11014	47	2	1998-04-10	3
11015	70	2	1998-04-10	2
11016	4	9	1998-04-10	2
11017	20	9	1998-04-13	2
11018	48	4	1998-04-13	2
11019	64	6	1998-04-13	3
11020	56	2	1998-04-14	2
11021	63	3	1998-04-14	1
11022	34	9	1998-04-14	2
11023	11	1	1998-04-14	2
11024	19	4	1998-04-15	1
11025	87	6	1998-04-15	3
11026	27	4	1998-04-15	1
11027	10	1	1998-04-16	1
11028	39	2	1998-04-16	1
11029	14	4	1998-04-16	1
11030	71	7	1998-04-17	2
11031	71	6	1998-04-17	2
11032	89	2	1998-04-17	3
11033	68	7	1998-04-17	3
11034	55	8	1998-04-20	1
11035	76	2	1998-04-20	2
11036	17	8	1998-04-20	3
11037	30	7	1998-04-21	1
11038	76	1	1998-04-21	2
11039	47	1	1998-04-21	2
11040	32	4	1998-04-22	3
11041	14	3	1998-04-22	2
11042	15	2	1998-04-22	1
11043	74	5	1998-04-22	2
11044	91	4	1998-04-23	1
11045	10	6	1998-04-23	2
11046	86	8	1998-04-23	2
11047	19	7	1998-04-24	3
11048	10	7	1998-04-24	3
11049	31	3	1998-04-24	1
11050	24	8	1998-04-27	2
11051	41	7	1998-04-27	3
11052	34	3	1998-04-27	1
11053	59	2	1998-04-27	2
11054	12	8	1998-04-28	1
11055	35	7	1998-04-28	2
11056	19	8	1998-04-28	2
11057	53	3	1998-04-29	3
11058	6	9	1998-04-29	3
11059	67	2	1998-04-29	2
11060	27	2	1998-04-30	2
11061	32	4	1998-04-30	3
11062	66	4	1998-04-30	2
11063	37	3	1998-04-30	2
11064	71	1	1998-05-01	1
11065	46	8	1998-05-01	1
11066	89	7	1998-05-01	2
11067	17	1	1998-05-04	2
11068	62	8	1998-05-04	2
11069	80	1	1998-05-04	2
11070	44	2	1998-05-05	1
11071	46	1	1998-05-05	1
11072	20	4	1998-05-05	2
11073	58	2	1998-05-05	2
11074	73	7	1998-05-06	2
11075	68	8	1998-05-06	2
11076	9	4	1998-05-06	2
11077	65	1	1998-05-06	2